Part,FM,LC,sEBR
1,5.1,-0.067,30.958333333333336
2,5.18,-0.049,6.416666666666667
3,5.36,-0.077,35.29166666666667
4,4.4,-0.099,10.366666666666667
5,5.44,-0.049,6.1
6,5.22,-0.071,21.366666666666667
7,4.69,-0.083,22.566666666666666
8,4.94,-0.041,6.458333333333333
9,5.25,-0.059,14.966666666666667
